INSURANCE TYPE,VEHICLE TYPE,VEHICLE USE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE MAKE YEAR,SUM INSURED,POLICY PREMIUM
Comprehensive,Car,Private,Toyota,Prius,2011,6495000.00,88691.98
Third Party,Bike,Private,Honda,CBR,2004,1050000.00,1200.00
Comprehensive,Car,Private,Nissan,Sunny,1999,2450000.00,35266.26
Third Party,Car,Private,Ford,Ranger XLT,2018,24000000.00,3500.00
Comprehensive,Truck,Private,Tata,Dimo Batta,2013,1800000.00,35278.05
Third Party,Three wheeler,Private,Bajaj,RE 2014,2014,1165000.00,2160.00
Third Party,Three wheeler,Private,Bajaj,RE 4 stroke,2012,1050000.00,2160.00
Comprehensive,Bike,Private,Hero,Karizma,2016,550000.00,18370.00
Comprehensive,Car,Private,Honda,Fit,2012,7150000.00,97342.67
Comprehensive,Car,Private,Honda,CRV,2018,24000000.00,319891.21
Comprehensive,Bike,Private,Honda,Dio,2012,345000.00,15021.00
Comprehensive,Car,Private,Toyota,Aqua,2014,7775000.00,105597.47
Comprehensive,Bike,Private,Yamaha,R15,2019,1280000.00,42752.00
Comprehensive,Bike,Private,Bajaj,Platina,2007,215000.00,7181.00
Comprehensive,Car,Private,Toyota,CHR,2018,15975000.00,213900.53
Comprehensive,Car,Private,Honda,Grace,2017,11700000.00,157437.62
Comprehensive,Car,Private,Jaguar,S-Type,2007,8800000.00,119134.85
Comprehensive,van,Private,Toyota,Townace,1996,4590000.00,63530.71
Comprehensive,Car,Private,Suzuki,Wagon R,2018,5990000.00,82021.77
Comprehensive,Car,Private,Toyota,Corolla 110,1997,3775000.00,52766.58
Comprehensive,Car,Private,Nissan,X-Trail,2011,11600000.00,156116.97
Comprehensive,Car,Private,Suzuki,Alto Sport,2007,2265000.00,32822.91
Comprehensive,Car,Private,Toyota,CHR,2019,16990000.00,227305.95
Comprehensive,Car,Private,Honda,Vezel RS,2018,15700000.00,210268.50
Comprehensive,Car,Private,Honda,CRV,2015,19000000.00,253852.85
Comprehensive,Car,Private,BMW,X1,2018,22500000.00,300080.50
Comprehensive,Car,Private,Mitsubishi,Montero,2001,11950000.00,160739.73
Comprehensive,Car,Private,BMW,420i COUPE SPORT,2017,37500000.00,498194.57
Comprehensive,Car,Private,suzuki,Alto,2017,5425000.00,74559.76
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2010,34800000.00,462534.10
Comprehensive,Car,Private,Toyota,Corolla,1984,850000.00,14133.91
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2003,14500000.00,194418.73
Comprehensive,Car,Private,Toyota,Allion,2014,12875000.00,172956.47
Comprehensive,Car,Private,Mercedes Benz,C200,2019,31000000.00,412345.51
Comprehensive,Car,Private,Mitsubishi,Lancer,1980,650000.00,11492.61
Comprehensive,Car,Private,Suzuki,Alto,2015,2800000.00,39889.02
Comprehensive,Car,Private,Toyota,Aqua,2013,7950000.00,107908.85
Comprehensive,Car,Private,Mitsubishi,Outlander,2014,14000000.00,187815.50
Comprehensive,Car,Private,Toyota,CHR,2017,15200000.00,203664.26
Comprehensive,Car,Private,Toyota,Premio,2013,13200000.00,177249.32
Comprehensive,Car,Private,Ford,Ranger,2016,29500000.00,392533.80
Comprehensive,Car,Private,Toyota,Prius,2012,8900000.00,120455.50
Comprehensive,Car,Private,Honda,Vezel,2015,11250000.00,151494.20
Comprehensive,Three wheeler,Private,Bajaj,RE,2008,750000.00,16748.91
Comprehensive,Car,Private,Toyota,Premio,2017,17900000.00,239324.74
Comprehensive,Car,Private,Audi,A4,2011,11750000.00,158097.44
Comprehensive,Car,Private,Honda,Civic,2017,14400000.00,193098.09
Comprehensive,Car,Private,Toyota,Voxy,2014,19400000.00,259136.44
Comprehensive,Car,Private,Peugeot,508,2011,13500000.00,181211.26
Comprehensive,Car,Private,Bajaj,Pulsar 180,2016,180000.00,7729.42
Comprehensive,Car,Private,Suzuki,Swift,2003,4150000.00,57719.26
Comprehensive,Car,Private,BMW,520d,2012,20875000.00,278617.24
Comprehensive,Car,Private,Mini,Cooper,2015,18775000.00,250881.65
Comprehensive,Car,Private,Toyota,Land Cruiser Prado,2016,56500000.00,749140.52
Comprehensive,Car,Private,Mercedes Benz,C180,2016,21250000.00,283570.91
Comprehensive,Car,Private,Honda,Fit Shuttle,2014,9690000.00,130889.71
Comprehensive,Car,Private,Mercedes Benz,C200,2018,33590000.00,446553.37
Comprehensive,Car,Private,Nissan,Sunny,1994,1990000.00,29190.88
Comprehensive,Car,Private,Audi,Q2,2018,17650000.00,236022.62
Comprehensive,Car,Private,Renault,KWID,2016,3050000.00,43191.14
Comprehensive,Car,Private,Toyota,Aqua,2014,7690000.00,104474.77
Comprehensive,Car,Private,Toyota,Prius,2013,9750000.00,131682.50
Comprehensive,Car,Private,Mitsubishi,Lancer,2008,7690000.00,104474.77
Comprehensive,Car,Private,Nissan,Sunny,2005,4200000.00,58380.08
Comprehensive,Car,Private,Micro,Panda,2016,2750000.00,39229.20
Comprehensive,Car,Private,Toyota,Vitz,2017,8490000.00,115040.94
Comprehensive,Car,Private,Toyota,Aqua,2013,7790000.00,105795.41
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2017,6900000.00,94040.56
Comprehensive,Car,Private,Suzuki,Wagon R Stingray,2017,6925000.00,94370.47
Comprehensive,Car,Private,Mercedes Benz,C200,2017,28500000.00,379326.33
Comprehensive,Car,Private,Mercedes Benz,CLA 200,2019,32950000.00,438099.62
Comprehensive,Car,Private,Audi,Q3,2017,17950000.00,239985.56
Comprehensive,Car,Private,Datsun,Redi Go,2016,2650000.00,37908.55
Comprehensive,Car,Private,DFSK,Glory,2019,9350000.00,126399.91
Comprehensive,Car,Private,Toyota,Corolla,1997,3675000.00,51445.94
Comprehensive,Car,Private,Toyota,Hilux,2017,27995000.00,372656.11
Comprehensive,Car,Private,Hyundai,Venue,2019,10900000.00,146871.44
Comprehensive,Car,Private,Kia,Sportage,2011,10725000.00,144560.06
Comprehensive,Car,Private,Honda,Grace,2015,11375000.00,153144.76
Comprehensive,Car,Private,Audi,A4,2011,11750000.00,158097.44
Comprehensive,Car,Private,Honda,Fit,2014,8500000.00,115172.91
Comprehensive,Car,Private,Jaguar,XF,2014,18500000.00,247249.62
Comprehensive,Car,Private,Toyota,CHR,2018,16500000.00,220833.68
Comprehensive,Car,Private,Nissan,X-Trail,2016,13500000.00,181211.26
Comprehensive,Car,Private,BMW,318i,2017,21950000.00,292815.44
Comprehensive,Car,Private,Mitsubishi,Outlander,2013,14000000.00,187815.50
Comprehensive,Car,Private,Toyota,Avanza,2008,5950000.00,81493.91
Comprehensive,Car,Private,Toyota,Corona,1991,1875000.00,27672.29
Comprehensive,Car,Private,Honda,Vezel,2014,10850000.00,146210.62
Comprehensive,Car,Private,Nissan,X-Trail,2016,12200000.00,164040.85
Comprehensive,Car,Private,Mercedes Benz,E200,2013,25000000.00,333099.68
Comprehensive,Car,Private,Toyota,Passo,2020,8100000.00,109890.32
Comprehensive,Car,Private,Toyota,Land Cruiser Sahara,2018,128000000.00,1693487.19
Comprehensive,Car,Private,Land Rover,Range Rover Velar,2019,64500000.00,854801.28
Comprehensive,Car,Private,MG,MG4 X,2024,19950000.00,266400.50
Comprehensive,Car,Private,BMW,X5,2016,37500000.00,498194.57
Comprehensive,Car,Private,Nissan,AD Wagon,1991,1790000.00,26549.59
Comprehensive,Car,Private,Toyota,Corolla,1992,2090000.00,30511.53
Comprehensive,Car,Private,Nissan,Wingroad,2005,4275000.00,59370.82
Comprehensive,Car,Private,Toyota,Prius,2014,10925000.00,147201.35
Comprehensive,Car,Private,Toyota,Toyota,2013,7650000.00,103946.91
Comprehensive,Car,Private,Honda,Vezel,2016,12250000.00,164701.67
Comprehensive,Car,Private,Toyota,Corolla,2006,6385000.00,87238.37
Comprehensive,Car,Private,Audi,Q2,2017,17750000.00,237343.27
Comprehensive,Car,Private,Toyota,Harrier,2017,31150000.00,414325.98
Comprehensive,Car,Private,Honda,Civic,2017,16000000.00,214230.44
